src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.1.41,8,1,0,7,1,0.0,60.0,30.0,0.27,0.125,0.0,0,0,normal
200.48.225.130,1,0,1,0,1,0.0,173.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,313497,313497,0,0,65039,0.0,57.97,30.0,10449.83,0.2075,0.0,0,1,normal
192.168.1.41,3,1,0,2,1,0.0,167.67,30.0,0.1,0.3333,0.0,0,0,normal
192.168.1.33,6,0,6,0,2,0.0,158.5,30.0,0.2,0.3333,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,312860,312860,0,0,65149,0.0,58.13,30.0,10428.64,0.2082,0.0,0,1,normal
192.168.1.33,8,0,8,0,2,0.0,158.5,30.0,0.27,0.25,0.0,0,0,normal
192.168.1.41,15,11,2,2,4,0.0,69.33,30.0,0.5,0.2667,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,312277,312277,0,0,65144,0.0,57.97,30.0,10409.22,0.2086,0.0,0,1,normal
192.168.1.41,11,3,5,3,3,0.3333,147.09,30.0,0.37,0.2727,22.6617,0,0,normal
192.168.1.33,5,0,5,0,2,0.0,174.8,30.0,0.17,0.4,0.0,0,0,normal
192.168.1.43,305115,305115,0,0,64959,0.0,58.13,30.0,10170.47,0.2129,0.0,0,1,normal
192.168.1.33,7,0,7,0,2,0.0,146.86,30.0,0.23,0.2857,0.0,0,0,normal
192.168.1.41,13,8,0,5,2,0.0,60.0,30.0,0.43,0.1538,0.0,0,0,normal
192.168.1.43,309532,309526,6,0,65072,0.0,57.97,30.0,10317.7,0.2102,0.0,0,1,normal
192.168.1.41,9,4,0,5,1,0.5,97.89,30.0,0.3,0.1111,51.0783,0,0,normal
192.168.1.33,8,0,8,0,2,0.0,178.88,30.0,0.27,0.25,0.0,0,0,normal
192.168.1.43,301088,301074,14,0,65051,0.0,58.13,30.0,10036.25,0.2161,0.0,0,1,normal
200.48.225.130,1,0,1,0,1,0.0,173.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.33,7,0,7,0,2,0.0,193.43,30.0,0.23,0.2857,0.0,0,0,normal
192.168.1.41,17,14,1,2,3,0.0,62.24,30.0,0.57,0.1765,0.0,0,0,normal
200.48.225.146,1,0,1,0,1,0.0,173.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,313243,313236,7,0,65056,0.0,57.97,30.0,10441.43,0.2077,0.0,0,1,normal
200.48.225.130,2,0,2,0,2,0.0,173.0,30.0,0.07,1.0,0.0,0,0,normal
192.168.1.41,2,0,0,2,0,0.0,60.0,30.0,0.07,0.0,0.0,0,0,normal
192.168.1.33,8,0,8,0,2,0.0,158.5,30.0,0.27,0.25,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,309411,309411,0,0,65091,0.0,57.97,30.0,10313.68,0.2104,0.0,0,1,normal
192.168.1.41,3,1,0,2,1,0.0,167.67,30.0,0.1,0.3333,0.0,0,0,normal
192.168.1.33,7,0,7,0,2,0.0,193.43,30.0,0.23,0.2857,0.0,0,0,normal
192.168.1.43,311145,311145,0,0,65172,0.0,58.13,30.0,10371.5,0.2095,0.0,0,1,normal
192.168.1.41,14,10,0,4,2,0.1,61.29,30.0,0.47,0.1429,16.317,0,0,normal
192.168.1.33,5,0,5,0,2,0.0,142.2,30.0,0.17,0.4,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,313781,313768,13,0,65113,0.0,57.97,30.0,10459.36,0.2075,0.0,0,1,normal
192.168.1.33,3,0,3,0,2,0.0,246.67,30.0,0.1,0.6667,0.0,0,0,normal
192.168.1.41,3,1,0,2,1,0.0,167.67,30.0,0.1,0.3333,0.0,0,0,normal
200.48.225.130,4,0,4,0,4,0.0,173.0,30.0,0.13,1.0,0.0,0,0,normal
200.48.225.146,2,0,2,0,2,0.0,173.0,30.0,0.07,1.0,0.0,0,0,normal
192.168.1.43,311499,311499,0,0,65025,0.0,58.13,30.0,10383.29,0.2087,0.0,0,1,normal
200.48.225.130,1,0,1,0,1,0.0,173.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.41,20,15,1,4,3,0.0667,84.35,30.0,0.67,0.15,7.9036,0,0,normal
192.168.1.33,6,0,6,0,2,0.0,158.5,30.0,0.2,0.3333,0.0,0,0,normal
192.168.1.43,310439,310427,12,0,65074,0.0,58.13,30.0,10347.94,0.2096,0.0,0,1,normal
200.48.225.130,3,0,3,0,3,0.0,173.0,30.0,0.1,1.0,0.0,0,0,normal
192.168.1.41,14,10,0,4,2,0.0,60.43,30.0,0.47,0.1429,0.0,0,0,normal
192.168.1.33,3,0,3,0,2,0.0,131.33,30.0,0.1,0.6667,0.0,0,0,normal
200.48.225.146,3,0,3,0,3,0.0,173.0,30.0,0.1,1.0,0.0,0,0,normal
192.168.1.43,310539,310534,5,0,65086,0.0,57.97,30.0,10351.3,0.2096,0.0006,0,1,normal
192.168.1.33,8,0,8,0,2,0.0,158.5,30.0,0.27,0.25,0.0,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.0,0.07,0.0,0.0,0,0,normal
192.168.1.41,4,3,0,1,1,0.3333,142.25,30.0,0.13,0.25,23.4329,0,0,normal
200.48.225.130,1,0,1,0,1,0.0,141.0,30.0,0.03,1.0,0.0,0,0,normal
200.48.225.146,1,0,1,0,1,0.0,117.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.43,309296,309292,4,0,65065,0.0,58.13,30.0,10309.86,0.2104,0.0,0,1,normal
104.16.133.229,1,1,0,0,1,0.0,74.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.33,9,0,9,0,2,0.0,149.44,30.0,0.3,0.2222,0.0,0,0,normal
192.168.1.41,11,9,0,2,2,0.0,60.55,30.0,0.37,0.1818,0.0,0,0,normal
200.48.225.130,1,0,1,0,1,0.0,141.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.1,1,0,0,1,0,0.0,60.0,30.0,0.03,0.0,0.0,0,0,normal
192.168.1.43,312390,312388,2,0,65030,0.0,57.97,30.0,10412.93,0.2082,0.0,0,1,normal
192.168.1.41,8,5,2,1,2,0.4,141.38,30.0,0.27,0.25,28.2935,0,0,normal
192.168.1.33,5,0,5,0,2,0.0,142.2,30.0,0.17,0.4,0.0,0,0,normal
192.168.1.43,150097,150096,1,0,65536,0.0,58.37,30.0,5003.13,0.4366,0.0,0,1,normal
192.168.1.33,22,0,22,0,2,0.0,173.32,30.0,0.73,0.0909,0.0,0,0,normal
192.168.1.41,209,201,0,8,2,0.005,93.0,30.0,6.97,0.0096,0.535,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.0,0.07,0.0,0.0,0,0,normal
185.125.190.56,1,0,1,0,1,0.0,90.0,30.0,0.03,1.0,0.0,0,0,normal
104.16.133.229,1,1,0,0,1,0.0,66.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.43,58208,58156,52,0,57630,0.0,64.2,30.0,1940.23,0.9901,0.0,0,1,normal
192.168.1.41,610,601,1,8,3,0.0116,86.63,30.0,20.33,0.0049,1.3445,0,0,normal
192.168.1.33,25,0,25,0,2,0.0,174.8,30.0,0.83,0.08,0.0,0,0,normal
200.48.225.130,51,0,51,0,51,0.0,172.86,30.0,1.7,1.0,0.0,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.0,0.07,0.0,0.0,0,0,normal
185.125.190.56,1,0,1,0,1,0.0,90.0,30.0,0.03,1.0,0.0,0,0,normal
192.168.1.50,2980,2963,0,17,1518,0.999,60.22,30.09,99.04,0.5094,165.8985,1,1,attack
192.168.1.50,26398,26398,0,0,13244,1.0,60.0,30.01,879.77,0.5017,166.6667,1,1,attack
192.168.1.50,29549,29549,0,0,14826,1.0,60.0,30.03,983.97,0.5017,166.6667,1,1,attack
192.168.1.50,37751,37751,0,0,18979,1.0,60.0,30.0,1258.31,0.5027,166.6667,1,1,attack
192.168.1.50,159777,159777,0,0,17312,0.7804,60.0,30.0,5325.89,0.1084,130.0698,1,1,attack
192.168.1.50,461118,461118,0,0,26,0.6965,60.0,30.0,15370.25,0.0001,116.0773,1,0,attack
192.168.1.50,477148,477148,0,0,237,0.6722,60.0,30.0,15904.54,0.0005,112.0271,1,1,attack
192.168.1.50,477839,477839,0,0,790,0.6777,60.0,30.0,15927.85,0.0017,112.9484,1,1,attack
192.168.1.50,476553,476553,0,0,308,0.6767,60.0,30.0,15885.06,0.0006,112.7888,1,1,attack
192.168.1.50,476723,476723,0,0,102,0.6713,60.0,30.0,15890.61,0.0002,111.878,1,1,attack
192.168.1.50,476434,476434,0,0,30,0.6718,60.0,30.0,15881.0,0.0001,111.9651,1,0,attack
192.168.1.50,476562,476562,0,0,29,0.6753,60.0,30.0,15885.11,0.0001,112.5502,1,0,attack
192.168.1.50,470981,470981,0,0,30,0.6764,60.0,30.0,15699.07,0.0001,112.7264,1,0,attack
192.168.1.50,474341,474341,0,0,26,0.6739,60.0,30.0,15811.12,0.0001,112.319,1,0,attack
192.168.1.50,479007,479007,0,0,35,0.6665,60.0,30.0,15966.88,0.0001,111.0909,1,0,attack
192.168.1.50,479346,479346,0,0,24,0.6676,60.0,30.0,15977.88,0.0001,111.2711,1,0,attack
192.168.1.50,476305,476305,0,0,25,0.6681,60.0,30.0,15876.79,0.0001,111.3471,1,0,attack
192.168.1.50,475744,475744,0,0,21,0.676,60.0,30.0,15858.1,0.0,112.6719,1,0,attack
192.168.1.50,472122,472122,0,0,27,0.6721,60.0,30.0,15737.37,0.0001,112.0187,1,0,attack
192.168.1.50,473691,473691,0,0,20,0.6719,60.0,30.0,15789.55,0.0,111.9883,1,0,attack
192.168.1.50,475575,475575,0,0,34,0.686,60.0,30.0,15852.43,0.0001,114.3339,1,0,attack
192.168.1.50,473062,473062,0,0,30,0.6742,60.0,30.0,15768.71,0.0001,112.3743,1,0,attack
192.168.1.50,474167,474167,0,0,32,0.6864,60.0,30.0,15805.4,0.0001,114.401,1,0,attack
192.168.1.50,473292,473292,0,0,34,0.6734,60.0,30.0,15776.23,0.0001,112.2352,1,0,attack
192.168.1.50,474709,474709,0,0,24,0.6704,60.0,30.0,15823.33,0.0001,111.7299,1,0,attack
192.168.1.50,474125,474125,0,0,24,0.6741,60.0,30.0,15804.13,0.0001,112.3571,1,0,attack
192.168.1.50,475337,475337,0,0,28,0.6732,60.0,30.0,15844.5,0.0001,112.206,1,0,attack
192.168.1.50,476392,476392,0,0,28,0.6703,60.0,30.0,15879.64,0.0001,111.7123,1,0,attack
